SentrixBarcode_A	SentrixPosition_A	Sample_Group	hd_id	gw_id
5443767151	R03C01	HG00280	5443767151_R03C01.txt	gw6.HG00280
5434078113	R01C01	HG00264	5434078113_R01C01.txt	gw6.HG00264
5434246020	R01C01	NA19129	5434246020_R01C01.txt	gw6.NA19129
5473229014	R02C01	NA20357	5473229014_R02C01.txt	gw6.NA20357
5826291144	R04C01	HG02048	5826291144_R04C01.txt	gw6.HG02048
5434078008	R01C01	HG00126	5434078008_R01C01.txt	gw6.HG00126
5460461132	R01C01	NA19755	5460461132_R01C01.txt	gw6.NA19755
5434203061	R03C01	HG00268	5434203061_R03C01.txt	gw6.HG00268
5434246076	R01C01	NA20801	5434246076_R01C01.txt	gw6.NA20801
5434078101	R01C01	HG00737	5434078101_R01C01.txt	gw6.HG00737
5434203050	R01C01	NA12718	5434203050_R01C01.txt	gw6.NA12718
5491005119	R01C01	HG00146	5491005119_R01C01.txt	gw6.HG00146
5443767145	R02C01	HG00708	5443767145_R02C01.txt	gw6.HG00708
5460444038	R04C01	NA12751	5460444038_R04C01.txt	gw6.NA12751
5434203099	R03C01	NA18626	5434203099_R03C01.txt	gw6.NA18626
5434078012	R03C01	HG00251	5434078012_R03C01.txt	gw6.HG00251
5460461136	R04C01	NA19000	5460461136_R04C01.txt	gw6.NA19000
5434203098	R01C01	NA18544	5434203098_R01C01.txt	gw6.NA18544
5460461111	R02C01	HG00628	5460461111_R02C01.txt	gw6.HG00628
5443767095	R01C01	HG01608	5443767095_R01C01.txt	gw6.HG01608
5434246030	R02C01	HG00421	5434246030_R02C01.txt	gw6.HG00421
6312937102	R02C01	NA20905	6312937102_R02C01.txt	gw6.NA20905
5443767155	R02C01	NA18624	5443767155_R02C01.txt	gw6.NA18624
5426529060	R03C01	NA20342	5426529060_R03C01.txt	gw6.NA20342
5473245056	R02C01	NA19443	5473245056_R02C01.txt	gw6.NA19443
5434203033	R03C01	HG00257	5434203033_R03C01.txt	gw6.HG00257
6288236074	R01C01	HG02433	6288236074_R01C01.txt	gw6.HG02433
5473245010	R04C01	NA19347	5473245010_R04C01.txt	gw6.NA19347
5434246092	R01C01	NA19185	5434246092_R01C01.txt	gw6.NA19185
5460461098	R04C01	HG00448	5460461098_R04C01.txt	gw6.HG00448
5443767014	R04C01	NA18640	5443767014_R04C01.txt	gw6.NA18640
5426511013	R01C01	NA20539	5426511013_R01C01.txt	gw6.NA20539
5767788037	R01C01	HG01709	5767788037_R01C01.txt	gw6.HG01709
5460461028	R01C01	NA19473	5460461028_R01C01.txt	gw6.NA19473
5460461029	R03C01	HG01067	5460461029_R03C01.txt	gw6.HG01067
5491005079	R03C01	HG01348	5491005079_R03C01.txt	gw6.HG01348
6288236074	R04C01	HG02307	6288236074_R04C01.txt	gw6.HG02307
5767770123	R02C01	HG01932	5767770123_R02C01.txt	gw6.HG01932
5443767139	R04C01	HG01515	5443767139_R04C01.txt	gw6.HG01515
5826291098	R03C01	HG01953	5826291098_R03C01.txt	gw6.HG01953
5434203050	R03C01	HG00619	5434203050_R03C01.txt	gw6.HG00619
6298021076	R04C01	HG02399	6298021076_R04C01.txt	gw6.HG02399
5443767096	R03C01	HG01070	5443767096_R03C01.txt	gw6.HG01070
5528550056	R02C01	NA12341	5528550056_R02C01.txt	gw6.NA12341
6298021102	R03C01	HG02450	6298021102_R03C01.txt	gw6.HG02450
5460461030	R01C01	NA18916	5460461030_R01C01.txt	gw6.NA18916
5426529010	R02C01	NA11994	5426529010_R02C01.txt	gw6.NA11994
5426511029	R01C01	NA12154	5426511029_R01C01.txt	gw6.NA12154
